id;typ_id;kennung;name
18fc28b4-4187-4844-9030-cc813ce5009b;;_;_root
78a505d2-96ee-4ebe-8b7b-707a2404cbd9;18fc28b4-4187-4844-9030-cc813ce5009b;0;Grund
d1dd0a74-8bbb-4461-92d4-d4e7f78bbe9c;18fc28b4-4187-4844-9030-cc813ce5009b;1;Aufschließung
f4c03974-0c7f-4ca4-a2ac-42df44b5efac;18fc28b4-4187-4844-9030-cc813ce5009b;2;Bauwerk-Rohbau
148c5bd8-1e26-4df5-a1ae-285bcc6d5092;18fc28b4-4187-4844-9030-cc813ce5009b;3;Bauwerk-Technik
2e789e30-e5be-4798-ade9-12e4a80635fa;18fc28b4-4187-4844-9030-cc813ce5009b;4;Bauwerk-Ausbau
e24d646b-3bcb-47a0-880c-bf496e27c155;18fc28b4-4187-4844-9030-cc813ce5009b;5;Einrichtung
ba444583-60ba-43c0-b424-e5eac7f9b93d;18fc28b4-4187-4844-9030-cc813ce5009b;6;Außenanlagen
f087eea4-c636-43be-8d7b-20002300be1e;18fc28b4-4187-4844-9030-cc813ce5009b;7;Planungsleistungen
fbc5f346-a0d8-4379-a4b4-16cf53b0386c;18fc28b4-4187-4844-9030-cc813ce5009b;8;Nebenleistungen
438f2443-66f2-4b4b-89ca-2c3e66f051c8;18fc28b4-4187-4844-9030-cc813ce5009b;9;Reserven
c7609a39-abe5-487d-ba05-2adcaee25c98;78a505d2-96ee-4ebe-8b7b-707a2404cbd9;0A;Allgemein
a6665651-c26f-49a9-b2d9-f0627a68f1d3;78a505d2-96ee-4ebe-8b7b-707a2404cbd9;0B;Grunderwerb
ad8b5367-74fc-416b-a4ca-c59a8913c2f3;78a505d2-96ee-4ebe-8b7b-707a2404cbd9;0C;Grunderwerb-Nebenleistungen 
b8c8d13f-04cf-4816-82b7-383238d3bf73;78a505d2-96ee-4ebe-8b7b-707a2404cbd9;0D;Spezielle Maßnahmen
57a38abd-8f54-4262-b5dd-21a4bc19cc1d;d1dd0a74-8bbb-4461-92d4-d4e7f78bbe9c;1A;Allgemein
8cc3323b-8bc9-4819-9416-6d8b84246aba;d1dd0a74-8bbb-4461-92d4-d4e7f78bbe9c;1B;Baureifmachung
c712e669-60fa-4fc9-a58b-2c0beb1cec85;d1dd0a74-8bbb-4461-92d4-d4e7f78bbe9c;1C;Erschließung
059855f4-4953-4c36-b15b-cba906d3b8bb;d1dd0a74-8bbb-4461-92d4-d4e7f78bbe9c;1D;Abbruch, Rückbau
8a570735-a8b0-48d7-aadc-94e7da4e172c;d1dd0a74-8bbb-4461-92d4-d4e7f78bbe9c;1E;Provisorien
e91fe2f1-ea1b-4d7f-88d7-bad92b4c9f58;f4c03974-0c7f-4ca4-a2ac-42df44b5efac;2A;Allgemein
